object_id,s_info_windcode,ann_dt,classification_code,int_acc_start_dt,int_acc_end_dt,payment_dt,principal_begin,principal_balance,coupon_rate,principal_amount,principal_payable,principal_trans_to_np,principal_loss,interest_payable,interest_amount,opdate,opmode
{2F2247F8-B783-4D8C-B775-DE056A80E3AF},0735012.IB,20080819,542001010,20080526,20080825,20080826,70884.0,58164.0,4.79,12720.0,12731.290583,0.0,0.0,855.812633,1002.056666,2015-09-25 16:48:24,1
{457EE1C6-9DE0-4327-9F35-5D430176DF42},0735014.IB,20081119,542002000,20080826,20081125,20081126,22600.0,22600.0,,0.0,0.0,0.0,0.0,284.821918,284.821918,2015-09-25 16:48:24,1
{40E8C366-549B-43FB-BEED-ADFCC6CBC185},0838012.IB,20091019,542001006,20090727,20091025,20091026,80000.0,0.0,4.65,80000.0,80000.0,0.0,0.0,1854.90411,1854.90411,2015-09-25 16:33:19,1
